Contour value = 0.98
29491200 = number of vibrational basis functions from initial-state totally symemtric irreducible
117964800 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       10.32450       37.89982          3              2.97302
   2       -9.27208       13.08931          1              0.18674
   3      -32.76203      -12.38930          4              3.89613
   4      -11.15756        8.70867          1              0.10351
   5      -11.97528        7.43070          1              0.21482
   6       -0.17082       18.04129          2              1.33989
   7      -14.08336        3.83643          1              0.75474
   8      -10.04415        6.05803          1              0.23495
   9      -16.69369       -1.01827          2              1.59282
  10       -5.47945        5.86887          1              0.01827
  11       -5.24339        6.05671          1              0.05728
  12       -6.21851        5.02953          1              0.09469
  13       -7.95282        3.14077          1              0.47968
  14      -21.06569       20.38718          0             -0.12819
  15      -17.50209        9.68319          1              0.13980
  16       37.29641       55.17434          9              8.83262
  17       -5.03675       19.38115          1              0.66325
  18       -8.50189       14.13397          1              0.26189
  19      -11.10526        9.95829          1              0.05134
  20       -9.62010       10.32932          1              0.01913
  21      -16.30122       16.30120          0             -0.03161
  22      -12.59429       12.59409          0             -0.03038
  23       -9.50542        9.50542          0             -0.07821
  24       -9.39551        9.39557          0             -0.04188
  25       -9.20977        9.20992          0             -0.01317
  26       -8.86129        8.86122          1              0.01038
  27       -8.45870        8.45870          0             -0.02756
  28       -8.14094        8.14084          0             -0.02670
  29       -7.74918        7.74933          0             -0.03223
  30       -5.67294        5.67299          0             -0.01408
  31       -5.64601        5.64598          0             -0.01375
  32       -5.43178        5.43183          0             -0.03593
  33      -15.26883       15.26881          0             -0.11013
  34      -18.50505       18.50511          1              0.44910
  35      -10.99843       10.99828          0             -0.02471
  36      -10.04719       10.04715          0             -0.02187
