Contour value = 0.9
2304000 = number of vibrational basis functions from initial-state totally symemtric irreducible
4608000 = number of vibrational basis functions
mode    lower bound    upper bound    phonons    continuum phonons
   1       12.88882       38.23458          4              3.03161
   2       -8.17126       12.36281          1              0.11263
   3      -32.29836      -13.59673          4              3.77418
   4      -10.24801        8.01610          1              0.00853
   5      -11.04943        6.77363          1              0.10855
   6        0.50229       17.23152          2              1.17808
   7      -13.36957        3.09177          1              0.63061
   8       -9.51290        5.27885          1              0.15912
   9      -16.10443       -1.70253          2              1.44669
  10       -4.99845        5.42350          0             -0.05741
  11       -4.80973        5.56799          0             -0.02903
  12       -5.74304        4.58671          1              0.00723
  13       -2.72371        7.46127          1              0.36257
  14      -19.40724       18.70683          0             -0.18461
  15      -16.35692        8.56940          1              0.05951
  16       37.34340       53.80072          9              8.40524
  17       -1.38722       21.00459          1              0.86439
  18       -7.49312       13.28001          1              0.17300
  19      -10.25451        9.08229          0             -0.02972
  20       -8.79833        9.51872          0             -0.05907
  21      -14.96495       14.96493          0             -0.10508
  22      -11.57273       11.57253          0             -0.10370
  23       -8.71912        8.71911          0             -0.14467
  24       -8.62533        8.62538          0             -0.11374
  25       -8.45661        8.45677          0             -0.08948
  26       -8.13569        8.13562          0             -0.06982
  27       -7.76948        7.76948          0             -0.10133
  28       -7.47476        7.47467          0             -0.10091
  29       -7.11342        7.11357          0             -0.10567
  30       -5.20986        5.20991          0             -0.09017
  31       -5.18506        5.18503          0             -0.08990
  32       -4.98953        4.98958          0             -0.10851
  33      -14.03369       14.03367          0             -0.17099
  34      -16.94742       16.94747          1              0.29815
  35      -10.10344       10.10329          0             -0.09891
  36       -9.22581        9.22576          0             -0.09681
