 N-H1 / A, N-H2 / A, energy A2 / Hartree
                  0.7,                  0.8,   -285.6343585157
                  0.7,                  0.9,   -285.6809275960
                  0.7,    1.027670912265692,   -285.6933640417
                  0.8,                  0.8,   -285.7441685522
                  0.8,                  0.9,   -285.7912438923
                  0.8,    1.027670912265692,   -285.8040815446
                  0.9,                  0.9,   -285.8386578319
                  0.9,    1.027670912265692,   -285.8520748807
    1.027670912265692,    1.027670912265692,   -285.8659277742
                  1.1,    1.027670912265692,   -285.8614434488
                  1.1,                  1.1,   -285.8569301895
                  1.2,    1.027670912265692,   -285.8488837940
                  1.2,                  1.1,   -285.8445585060
                  1.2,                  1.2,   -285.8325821006
                  1.3,    1.027670912265692,   -285.8363333769
                  1.3,                  1.1,   -285.8323282273
                  1.3,                  1.2,   -285.820838549
                  1.3,                  1.3,   -285.8084152397
                  1.4,    1.027670912265692,   -285.8313609572
                  1.4,                  1.1,   -285.8274990867
                  1.4,                  1.2,   -285.8152344298
                  1.4,                  1.3,   -285.8009195442
                  1.4,                  1.4,   -285.7897876018
                  1.5,    1.027670912265692,   -285.8327336778
                  1.5,                  1.1,   -285.8283127030
                  1.5,                  1.2,   -285.8151305828
                  1.5,                  1.3,   -285.7990603023
                  1.5,                  1.4,   -285.7841140381
                  1.6,    1.027670912265692,   -285.8353905355
                  1.6,                  1.1,   -285.8309026866
                  1.6,                  1.2,   -285.8170699162
                  1.6,                  1.3,   -285.7997626303
                  1.6,                  1.4,   -285.7825686902
                  1.6,                  1.5,   -285.7680684119
                  1.6,                  1.6,   -285.7577300842
                  1.7,    1.027670912265692,   -285.8378671873
                  1.7,                  1.1,   -285.8332189418
                  1.7,                  1.2,   -285.8190424107
                  1.7,                  1.3,   -285.8011235116
                  1.7,                  1.4,   -285.7827998014
                  1.7,                  1.5,   -285.7660822870
                  1.8,    1.027670912265692,   -285.8396523641
                  1.8,                  1.1,   -285.8349068703
                  1.8,                  1.2,   -285.8205570770
                  1.9,    1.027670912265692,   -285.8408221474
                  1.9,                  1.1,   -285.8360221220
                  2.0,    1.027670912265692,   -285.8415188249
                  2.1,    1.027670912265692,   -285.8416352182
                  2.2,    1.027670912265692,   -285.8421198927
                  2.3,    1.027670912265692,   -285.8425401134
                  2.4,    1.027670912265692,   -285.8429781320
                  2.5,    1.027670912265692,   -285.8435191728
                  2.6,    1.027670912265692,   -285.8444612807
                  2.7,    1.027670912265692,   -285.8448736978
                  2.8,    1.027670912265692,   -285.8442672817
                  2.9,    1.027670912265692,   -285.8437263909
                  3.0,    1.027670912265692,   -285.8432798025
                  4.0,    1.027670912265692,   -285.8418954568
                  5.0,    1.027670912265692,   -285.8418421088
                  6.0,    1.027670912265692,   -285.8418315546
