C-N-avgH, energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree, energy A2 / Hartree
    0.000000000000000,   -286.0945184995,   -285.9453200579,   -285.9159186745,   -285.8659277742
   -0.085036695670896,   -286.0938875435,   -285.9446625473,   -285.9153059364,   -285.8652634031
   -0.169648387169342,   -286.0919888207,   -285.9426845121,   -285.9134627816,   -285.8632639350
   -0.253412190911621,   -286.0888074907,   -285.9393722130,   -285.9103766764,   -285.8599128534
   -0.335909457021383,   -286.0843177250,   -285.9347017632,   -285.9060256477,   -285.8551817086
   -0.416727875722432,   -286.0784822774,   -285.9286389674,   -285.9003779956,   -285.8490298951
   -0.495463530531786,   -286.0712527608,   -285.9211398011,   -285.8933926216,   -285.8414050587
   -0.571722897187731,   -286.0625723254,   -285.9121532435,   -285.8850218169,   -285.8322458718
   -0.645124838972673,   -286.0523796546,   -285.9016251144,   -285.8752153576,   -285.8214857969
   -0.715302492817325,   -286.0406153061,   -285.8895038742,   -285.8639268998,   -285.8090589509
   -0.781905133482330,   -286.0272298033,   -285.8757477530,   -285.8511221342,   -285.7949073912
   -0.844599874115326,   -286.0121929707,   -285.8603326553,   -285.8367879278,   -285.7789896231
   -0.903073377388547,   -285.9955024378,   -285.8432590184,   -285.8209404172,   -285.7612883509
   -0.957033394406700,   -285.9771851272,   -285.8245513417,   -285.8036248148,   -285.7418121705
   -1.006210235465379,   -285.9572822966,   -285.8042413074,   -285.7848965018,   -285.7205825385
