cos(H-N-H), energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree
   -0.448660552147955,   -286.0945184995,   -285.9453200579,   -285.9159186745
   -0.357198023526339,   -286.0934094334,   -285.9444408625,   -285.9146185426
   -0.262166246026937,   -286.0904705209,   -285.9417546098,   -285.9115001191
   -0.164514986000456,   -286.0856057835,   -285.9371818577,   -285.9064602230
   -0.065219957107510,   -286.0787029098,   -285.9306311174,   -285.8993797599
    0.034726735065856,   -286.0696376169,   -285.9220052000,   -285.8901275653
    0.134326446277606,   -286.0582755145,   -285.9112067359,   -285.8785631396
    0.232584014747921,   -286.0444726761,   -285.8981433241,   -285.8645375414
    0.328517680947979,   -286.0280621062,   -285.8827200494,   -285.8478802708
    0.421168904217647,   -286.0088205827,   -285.8648170545,   -285.8283662217
    0.509611948964990,   -285.9864109246,   -285.8442532588,   -285.8056569510
   -0.535640696655858,   -286.0938828863,   -285.9444637130,   -285.9154927724
   -0.617268652369609,   -286.0915788162,   -285.9419369063,   -285.9134246194
   -0.692729061005608,   -286.0876835211,   -285.9378079744,   -285.9097992244
   -0.761267961726681,   -286.0822783932,   -285.9321516073,   -285.9047065878
   -0.822200517171541,   -286.0754523594,   -285.9250519127,   -285.8982452011
   -0.874917912050515,   -286.0673020457,   -285.9166017504,   -285.8905222600
   -0.918893419615337,   -286.0579309759,   -285.9069004288,   -285.8816528379
   -0.953687648674468,   -286.0474475186,   -285.8960490142,   -285.8717576191
   -0.978952946412066,   -286.0359646469,   -285.8841459840,   -285.8609623895
   -0.994436870644748,   -286.0235982926,   -285.8712794326,   -285.8493959760
