HooBenzene, energy A1 / Hartree, energy B1 / Hartree, energy B2 / Hartree
    0.000000000000000,   -286.0945184995,   -285.9453200579,   -285.9159186745
    0.099916682970544,   -286.0938974382,   -285.9446798994,   -285.9156270591
    0.199333999622169,   -286.0920264734,   -285.9427521886,   -285.9147288491
    0.297755052084435,   -286.0888865325,   -285.9395189531,   -285.9131596325
    0.394687959677709,   -286.0844433225,   -285.9349468912,   -285.9108167279
    0.489648248359182,   -286.0786450139,   -285.9289843430,   -285.9075650329
    0.582161314396181,   -286.0714176641,   -285.9215562922,   -285.9032406588
    0.671764780049942,   -286.0626580484,   -285.9125571033,   -285.8976506818
    0.758010822993756,   -286.0522223184,   -285.9018392152,   -285.8905669389
    0.840468396184619,   -286.0399068334,   -285.8891939838,   -285.8817103133
    0.918725371168382,   -286.0254135049,   -285.8743168900,   -285.8707179217
