Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Mon Apr 12 19:04:33 2021

Ground state energy = 26843.51 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000     0.002057     0.000004     0.000102
     28.23      -0.000000     0.120950     0.014629     0.351988
    159.28       0.000000    -0.012224     0.000149     0.003596
    530.10      -0.000000    -0.001372     0.000002     0.000045
    558.31       0.000000     0.100244     0.010049     0.241786
    689.35       0.000000     0.010391     0.000108     0.002598
    926.31      -0.000000    -0.099680     0.009936     0.239075
   1001.94      -0.000000     0.003378     0.000011     0.000275
   1057.39      -0.000000     0.010819     0.000117     0.002816
   1088.40      -0.000000    -0.056774     0.003223     0.077556
   1219.43      -0.000000    -0.006038     0.000036     0.000877
   1252.87      -0.000000     0.003958     0.000016     0.000377
   1268.61       0.000000    -0.052597     0.002766     0.066564
   1399.64      -0.000000     0.005394     0.000029     0.000700
   1416.56      -0.000000     0.031205     0.000974     0.023429
   1430.88       0.000000    -0.001561     0.000002     0.000059
   1434.92      -0.000000     0.017507     0.000306     0.007374
   1456.34      -0.000000    -0.082431     0.006795     0.163491
   1494.75       0.000000     0.012109     0.000147     0.003528
   1520.71       0.000000    -0.201374     0.040551     0.975712
   1531.96       0.000000    -0.003188     0.000010     0.000245
   1547.57      -0.000000    -0.003359     0.000011     0.000271
   1587.44      -0.000000     0.009194     0.000085     0.002034
   1604.28      -0.000000     0.062296     0.003881     0.093377
   1623.66       0.000000    -0.024396     0.000595     0.014320
   1669.04      -0.000000    -0.047535     0.002260     0.054369
   1676.25       0.000000     0.044814     0.002008     0.048321
   1754.72      -0.000000     0.002660     0.000007     0.000170
   1782.79      -0.000000    -0.003432     0.000012     0.000283
   1798.67       0.000000     0.043524     0.001894     0.045579
   1800.45       0.000000     0.004801     0.000023     0.000555
   1807.68       0.000000    -0.004522     0.000020     0.000492
   1824.11       0.000000     0.049778     0.002478     0.059620
   1899.56      -0.000000     0.002774     0.000008     0.000185
   1923.60       0.000000     0.001674     0.000003     0.000067
   1929.72       0.000000    -0.004577     0.000021     0.000504
   1946.63      -0.000000     0.028562     0.000816     0.019629
   1955.34       0.000000     0.005811     0.000034     0.000812
   1960.87       0.000000    -0.001291     0.000002     0.000040
   1964.93       0.000000     0.013708     0.000188     0.004521
   1986.37       0.000000    -0.046567     0.002168     0.052176
   2024.64       0.000000     0.010009     0.000100     0.002411
   2050.69       0.000000     0.170147     0.028950     0.696568
   2062.00      -0.000000     0.002098     0.000004     0.000106
   2077.66       0.000000    -0.003128     0.000010     0.000235
   2117.51       0.000000    -0.005357     0.000029     0.000690
   2134.30      -0.000000    -0.053556     0.002868     0.069013
   2150.19       0.000000    -0.003676     0.000014     0.000325
   2166.62      -0.000000    -0.044279     0.001961     0.047175
   2198.93      -0.000000     0.039156     0.001533     0.036890
   2206.27       0.000000    -0.037275     0.001389     0.033431
   2242.07      -0.000000    -0.001807     0.000003     0.000079
   2297.74      -0.000000     0.004846     0.000023     0.000565
   2312.74      -0.000000     0.002155     0.000005     0.000112
   2314.61       0.000000    -0.025517     0.000651     0.015666
   2328.76      -0.000000    -0.024639     0.000607     0.014607
   2330.39      -0.000000     0.004072     0.000017     0.000399
   2332.63       0.000000    -0.013227     0.000175     0.004210
   2337.74      -0.000000    -0.003853     0.000015     0.000357
   2354.09       0.000000    -0.041084     0.001688     0.040612
   2390.36       0.000000    -0.001098     0.000001     0.000029
   2391.81       0.000000     0.009741     0.000095     0.002283
   2418.18       0.000000     0.203865     0.041561     1.000000
   2429.52      -0.000000     0.003081     0.000009     0.000228
   2445.72       0.000000     0.003007     0.000009     0.000218
   2453.45       0.000000    -0.001629     0.000003     0.000064
   2459.82      -0.000000     0.002672     0.000007     0.000172
   2460.06       0.000000    -0.001140     0.000001     0.000031
   2476.72      -0.000000     0.017811     0.000317     0.007633
   2485.35      -0.000000    -0.005024     0.000025     0.000607
   2492.50       0.000000    -0.002829     0.000008     0.000193
   2493.71       0.000000    -0.006230     0.000039     0.000934
   2494.97       0.000000    -0.007280     0.000053     0.001275
   2501.95      -0.000000     0.066147     0.004375     0.105278
   2521.58       0.000000    -0.020002     0.000400     0.009626
   2554.55      -0.000000     0.005489     0.000030     0.000725
   2565.88      -0.000000     0.040085     0.001607     0.038661
   2573.89      -0.000000     0.039085     0.001528     0.036757
   2577.26      -0.000000    -0.001592     0.000003     0.000061
   2580.67      -0.000000    -0.098295     0.009662     0.232474
   2607.76      -0.000000    -0.001986     0.000004     0.000095
   2641.03      -0.000000     0.002107     0.000004     0.000107
   2643.48      -0.000000     0.002071     0.000004     0.000103
   2652.75      -0.000000     0.002400     0.000006     0.000139
   2656.93      -0.000000    -0.013790     0.000190     0.004576
   2657.29      -0.000000     0.001216     0.000001     0.000036
   2664.32      -0.000000    -0.031501     0.000992     0.023876
   2675.19       0.000000     0.007331     0.000054     0.001293
   2680.01       0.000000     0.003150     0.000010     0.000239
   2696.65       0.000000    -0.036527     0.001334     0.032102
   2697.56       0.000000    -0.004473     0.000020     0.000481
   2705.57      -0.000000    -0.004209     0.000018     0.000426
   2721.84       0.000000    -0.015641     0.000245     0.005886
   2728.81       0.000000    -0.022069     0.000487     0.011719
   2734.34       0.000000     0.005350     0.000029     0.000689
   2736.31       0.000000     0.021397     0.000458     0.011016
   2740.08       0.000000     0.013273     0.000176     0.004239
   2760.85       0.000000    -0.093369     0.008718     0.209761
   2772.05       0.000000     0.001912     0.000004     0.000088
   2787.96       0.000000    -0.001518     0.000002     0.000055
   2796.77       0.000000    -0.001613     0.000003     0.000063
   2820.37       0.000000     0.001656     0.000003     0.000066
   2823.22       0.000000    -0.004353     0.000019     0.000456
   2826.04       0.000000     0.003067     0.000009     0.000226
   2827.79       0.000000     0.004107     0.000017     0.000406
   2844.53       0.000000    -0.028031     0.000786     0.018905
   2844.64       0.000000     0.024809     0.000615     0.014809
   2853.20       0.000000    -0.002009     0.000004     0.000097
   2860.32       0.000000     0.002234     0.000005     0.000120
   2862.59       0.000000    -0.010080     0.000102     0.002445
   2862.70       0.000000     0.001023     0.000001     0.000025
   2864.01       0.000000     0.010651     0.000113     0.002730
   2867.80       0.000000    -0.002241     0.000005     0.000121
   2883.03       0.000000    -0.001710     0.000003     0.000070
   2884.08       0.000000     0.023314     0.000544     0.013079
   2886.71       0.000000     0.004165     0.000017     0.000417
   2897.46       0.000000    -0.003461     0.000012     0.000288
   2899.13       0.000000    -0.001974     0.000004     0.000094
   2908.07       0.000000    -0.031523     0.000994     0.023909
   2909.06       0.000000     0.044112     0.001946     0.046819
   2916.46       0.000000     0.018163     0.000330     0.007938
   2919.13       0.000000     0.009579     0.000092     0.002208
   2921.60       0.000000    -0.008246     0.000068     0.001636
   2948.06       0.000000     0.171265     0.029332     0.705750
   2959.47       0.000000     0.002859     0.000008     0.000197
   2959.51       0.000000     0.021269     0.000452     0.010884
   2975.77       0.000000     0.002805     0.000008     0.000189
   2982.40       0.000000    -0.018969     0.000360     0.008657
   2990.01       0.000000     0.001067     0.000001     0.000027
   2992.59       0.000000     0.015881     0.000252     0.006069
   2995.09       0.000000    -0.001177     0.000001     0.000033
   3004.16       0.000000    -0.002310     0.000005     0.000128
   3011.98       0.000000     0.008365     0.000070     0.001684
   3015.35       0.000000     0.002995     0.000009     0.000216
   3022.23       0.000000     0.002235     0.000005     0.000120
   3023.58       0.000000     0.004816     0.000023     0.000558
   3030.14       0.000000    -0.002883     0.000008     0.000200
   3031.90       0.000000     0.056374     0.003178     0.076467
   3034.96       0.000000     0.009451     0.000089     0.002149
   3040.11       0.000000    -0.001375     0.000002     0.000046
   3046.62       0.000000    -0.002117     0.000004     0.000108
   3048.02       0.000000    -0.002044     0.000004     0.000101
   3057.38       0.000000     0.013662     0.000187     0.004491
   3064.34       0.000000    -0.023538     0.000554     0.013331
   3064.54       0.000000    -0.007974     0.000064     0.001530
   3067.85       0.000000     0.009092     0.000083     0.001989
   3068.16       0.000000    -0.003129     0.000010     0.000236
   3072.86       0.000000     0.007408     0.000055     0.001320
   3081.65       0.000000     0.008072     0.000065     0.001568
   3089.57       0.000000    -0.001864     0.000003     0.000084
   3094.28       0.000000    -0.110619     0.012237     0.294425
   3095.62       0.000000    -0.036075     0.001301     0.031314
   3103.85       0.000000     0.032289     0.001043     0.025086
   3115.50       0.000000     0.002964     0.000009     0.000211
   3115.79       0.000000    -0.043214     0.001867     0.044934
   3138.46       0.000000    -0.002168     0.000005     0.000113
   3139.52       0.000000     0.001443     0.000002     0.000050
   3155.95       0.000000    -0.065650     0.004310     0.103701
   3161.31       0.000000     0.046041     0.002120     0.051005
   3163.15       0.000000    -0.037784     0.001428     0.034350
   3166.62       0.000000     0.114060     0.013010     0.313025
   3170.89       0.000000    -0.003880     0.000015     0.000362
   3173.15       0.000000    -0.002612     0.000007     0.000164
   3173.24       0.000000     0.001074     0.000001     0.000028
   3186.95       0.000000    -0.003239     0.000010     0.000252
   3187.00       0.000000     0.012346     0.000152     0.003667
   3188.84       0.000000    -0.001924     0.000004     0.000089
   3195.63       0.000000     0.002885     0.000008     0.000200
   3196.02       0.000000    -0.001497     0.000002     0.000054
   3199.49       0.000000     0.014064     0.000198     0.004759
   3203.25       0.000000    -0.001894     0.000004     0.000086
   3205.19       0.000000     0.005684     0.000032     0.000777
   3209.84       0.000000    -0.001987     0.000004     0.000095
   3212.42       0.000000    -0.012789     0.000164     0.003935
   3226.68       0.000000    -0.020597     0.000424     0.010208
   3227.40       0.000000    -0.004015     0.000016     0.000388
   3229.96       0.000000    -0.005466     0.000030     0.000719
   3235.58       0.000000    -0.003605     0.000013     0.000313
   3241.62       0.000000     0.024070     0.000579     0.013941
   3250.57       0.000000     0.025088     0.000629     0.015144
   3251.73       0.000000     0.012930     0.000167     0.004023
   3263.67       0.000000     0.007179     0.000052     0.001240
   3264.17       0.000000    -0.007687     0.000059     0.001422
   3268.84       0.000000     0.014316     0.000205     0.004931
   3271.50       0.000000     0.008389     0.000070     0.001693
   3287.81       0.000000     0.001331     0.000002     0.000043
   3290.77       0.000000     0.079606     0.006337     0.152477
   3302.02       0.000000    -0.001054     0.000001     0.000027
   3305.30       0.000000     0.001373     0.000002     0.000045
   3305.66       0.000000    -0.013617     0.000185     0.004462
   3312.17       0.000000    -0.001008     0.000001     0.000024
   3314.93       0.000000    -0.128877     0.016609     0.399637
   3318.04       0.000000    -0.001389     0.000002     0.000046
   3321.21       0.000000    -0.007754     0.000060     0.001447
   3326.59       0.000000    -0.002617     0.000007     0.000165
   3343.65       0.000000    -0.001662     0.000003     0.000066
   3350.08       0.000000     0.001749     0.000003     0.000074
   3353.24       0.000000    -0.003763     0.000014     0.000341
   3355.54       0.000000     0.002060     0.000004     0.000102
   3357.85       0.000000     0.002390     0.000006     0.000137
   3374.52       0.000000    -0.024203     0.000586     0.014095
   3374.70       0.000000    -0.015747     0.000248     0.005967
   3380.50       0.000000     0.001523     0.000002     0.000056
   3383.15       0.000000     0.001853     0.000003     0.000083
   3388.94       0.000000    -0.003686     0.000014     0.000327
   3389.91       0.000000    -0.008100     0.000066     0.001579
   3392.56       0.000000    -0.005236     0.000027     0.000660
   3399.17       0.000000    -0.042124     0.001774     0.042694
   3399.27       0.000000    -0.006993     0.000049     0.001177
   3405.13       0.000000    -0.012355     0.000153     0.003673
   3412.42       0.000000     0.008431     0.000071     0.001710
   3413.50       0.000000    -0.008946     0.000080     0.001925
   3413.58       0.000000     0.008051     0.000065     0.001559
   3419.22       0.000000     0.009959     0.000099     0.002386
   3424.26       0.000000     0.029775     0.000887     0.021331
   3427.40       0.000000    -0.014901     0.000222     0.005342
   3428.75       0.000000    -0.001567     0.000002     0.000059
   3437.67       0.000000     0.024978     0.000624     0.015012
   3439.02       0.000000    -0.042679     0.001822     0.043827
   3446.32       0.000000    -0.012013     0.000144     0.003472
   3447.84       0.000000    -0.013141     0.000173     0.004155
   3451.38       0.000000    -0.004630     0.000021     0.000516
   3454.25       0.000000     0.001895     0.000004     0.000086
   3461.63       0.000000     0.020402     0.000416     0.010015
   3470.54       0.000000     0.020495     0.000420     0.010107
   3477.94       0.000000     0.098286     0.009660     0.232433
   3489.30       0.000000     0.017464     0.000305     0.007339
   3494.54       0.000000     0.001054     0.000001     0.000027
   3505.83       0.000000    -0.001790     0.000003     0.000077
   3510.02       0.000000    -0.015955     0.000255     0.006125
   3518.76       0.000000    -0.003542     0.000013     0.000302
   3522.63       0.000000     0.015204     0.000231     0.005562
   3534.44       0.000000    -0.002063     0.000004     0.000102
   3537.51       0.000000    -0.003216     0.000010     0.000249
   3539.63       0.000000     0.001035     0.000001     0.000026
   3550.53       0.000000     0.001446     0.000002     0.000050
   3551.73       0.000000    -0.001424     0.000002     0.000049
   3552.74       0.000000    -0.001266     0.000002     0.000039
   3553.33       0.000000    -0.001952     0.000004     0.000092
   3553.51       0.000000    -0.001526     0.000002     0.000056
   3554.95       0.000000     0.011467     0.000131     0.003164
   3558.51       0.000000     0.003063     0.000009     0.000226
   3561.85       0.000000    -0.032835     0.001078     0.025941
   3564.83       0.000000     0.007859     0.000062     0.001486
   3569.94       0.000000     0.001056     0.000001     0.000027
   3572.79       0.000000    -0.005561     0.000031     0.000744
   3576.54       0.000000     0.002395     0.000006     0.000138
   3578.06       0.000000     0.001691     0.000003     0.000069
   3587.26       0.000000    -0.012681     0.000161     0.003869
   3593.99       0.000000    -0.001379     0.000002     0.000046
   3594.30       0.000000    -0.018929     0.000358     0.008621
   3594.62       0.000000     0.010671     0.000114     0.002740
   3597.41       0.000000    -0.004303     0.000019     0.000446
   3599.79       0.000000    -0.002213     0.000005     0.000118
   3602.31       0.000000     0.002617     0.000007     0.000165
   3602.39       0.000000     0.005358     0.000029     0.000691
   3603.04       0.000000     0.002274     0.000005     0.000124
   3611.45       0.000000     0.006429     0.000041     0.000994
   3621.05       0.000000     0.002314     0.000005     0.000129
   3623.87       0.000000    -0.093445     0.008732     0.210101
   3625.32       0.000000    -0.025525     0.000652     0.015677
   3630.44       0.000000    -0.002866     0.000008     0.000198
   3633.78       0.000000    -0.022819     0.000521     0.012529
   3634.45       0.000000     0.017475     0.000305     0.007348
   3635.91       0.000000     0.001138     0.000001     0.000031
   3655.02       0.000000     0.024806     0.000615     0.014805
   3658.11       0.000000     0.092501     0.008556     0.205876
   3669.39       0.000000     0.002366     0.000006     0.000135
   3684.38       0.000000     0.047964     0.002301     0.055354
   3684.50       0.000000    -0.018006     0.000324     0.007801
   3686.07      -0.000000    -0.001101     0.000001     0.000029
   3690.14      -0.000000     0.025470     0.000649     0.015609
   3690.26      -0.000000    -0.005515     0.000030     0.000732
   3692.05      -0.000000     0.001022     0.000001     0.000025
   3692.86      -0.000000    -0.043212     0.001867     0.044929
   3696.31      -0.000000    -0.100394     0.010079     0.242510
   3700.73      -0.000000    -0.002950     0.000009     0.000209
   3702.84       0.000000    -0.001516     0.000002     0.000055
   3715.46      -0.000000    -0.002143     0.000005     0.000110
   3717.07      -0.000000     0.008063     0.000065     0.001564
   3718.78      -0.000000     0.001792     0.000003     0.000077
   3720.91      -0.000000     0.003330     0.000011     0.000267
   3721.46       0.000000     0.002754     0.000008     0.000182
   3725.62       0.000000    -0.001185     0.000001     0.000034
   3725.70       0.000000     0.007052     0.000050     0.001197
   3726.07       0.000000    -0.001276     0.000002     0.000039
   3732.64       0.000000    -0.001923     0.000004     0.000089
   3735.20      -0.000000     0.002982     0.000009     0.000214
   3742.05       0.000000     0.030325     0.000920     0.022127
   3742.40      -0.000000     0.013712     0.000188     0.004524
   3754.43       0.000000     0.001325     0.000002     0.000042
   3757.22       0.000000     0.001853     0.000003     0.000083
   3758.94       0.000000     0.003336     0.000011     0.000268
   3759.81      -0.000000     0.004138     0.000017     0.000412
   3761.89      -0.000000     0.008809     0.000078     0.001867
   3765.60      -0.000000     0.002107     0.000004     0.000107
   3771.58      -0.000000    -0.021332     0.000455     0.010949
   3777.25       0.000000    -0.008706     0.000076     0.001824
   3777.60      -0.000000    -0.001260     0.000002     0.000038
   3780.38       0.000000    -0.005332     0.000028     0.000684
   3780.42      -0.000000    -0.020387     0.000416     0.010000
   3781.65      -0.000000     0.007296     0.000053     0.001281
   3792.15      -0.000000     0.004993     0.000025     0.000600
   3794.76      -0.000000     0.002385     0.000006     0.000137
   3797.56       0.000000     0.009041     0.000082     0.001967
   3803.93       0.000000     0.026848     0.000721     0.017343
   3806.46       0.000000    -0.047006     0.002210     0.053165
   3813.21       0.000000    -0.002491     0.000006     0.000149
   3814.52      -0.000000    -0.015988     0.000256     0.006150
   3816.58      -0.000000    -0.002190     0.000005     0.000115
   3817.74      -0.000000     0.001398     0.000002     0.000047
   3820.70      -0.000000     0.046872     0.002197     0.052862
   3836.60      -0.000000     0.012735     0.000162     0.003902
   3837.11       0.000000     0.001579     0.000002     0.000060
   3842.04      -0.000000    -0.001898     0.000004     0.000087
   3842.89       0.000000    -0.001942     0.000004     0.000091
   3843.56       0.000000     0.001002     0.000001     0.000024
   3844.54       0.000000    -0.106718     0.011389     0.274027
   3850.46      -0.000000     0.001208     0.000001     0.000035
   3854.20      -0.000000    -0.001346     0.000002     0.000044
   3855.51       0.000000    -0.005569     0.000031     0.000746
   3855.85      -0.000000    -0.020842     0.000434     0.010451
   3856.39       0.000000    -0.002054     0.000004     0.000102
   3873.58      -0.000000    -0.005153     0.000027     0.000639
   3873.66      -0.000000     0.001699     0.000003     0.000069
   3874.18       0.000000     0.021892     0.000479     0.011531
   3881.07       0.000000     0.001342     0.000002     0.000043
   3883.27      -0.000000     0.002227     0.000005     0.000119
   3885.98      -0.000000     0.001244     0.000002     0.000037
   3890.21       0.000000    -0.016571     0.000275     0.006607
   3893.08       0.000000    -0.001086     0.000001     0.000028
   3898.34       0.000000     0.003858     0.000015     0.000358
   3904.60      -0.000000    -0.012525     0.000157     0.003775
   3904.66      -0.000000     0.007357     0.000054     0.001302
   3904.84       0.000000     0.004257     0.000018     0.000436
   3909.90      -0.000000     0.006949     0.000048     0.001162
   3910.60      -0.000000    -0.001178     0.000001     0.000033
   3913.11      -0.000000     0.001204     0.000001     0.000035
   3917.96       0.000000    -0.003986     0.000016     0.000382
   3919.46      -0.000000    -0.006699     0.000045     0.001080
   3927.65      -0.000000    -0.002031     0.000004     0.000099
   3928.99       0.000000    -0.036269     0.001315     0.031652
   3929.85      -0.000000     0.002084     0.000004     0.000105
   3931.52       0.000000     0.002496     0.000006     0.000150
   3931.97       0.000000    -0.010256     0.000105     0.002531
   3935.12       0.000000     0.010714     0.000115     0.002762
   3940.48      -0.000000    -0.001755     0.000003     0.000074
   3941.63      -0.000000    -0.005148     0.000027     0.000638
   3943.00      -0.000000    -0.003551     0.000013     0.000303
