Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Mon Apr 12 17:09:16 2021

Ground state energy = 26785.29 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000    -0.001269     0.000002     0.000068
    530.18       0.000000     0.001015     0.000001     0.000043
   1443.13       0.000000     0.003730     0.000014     0.000587
   1973.29      -0.000000    -0.003003     0.000009     0.000380
   2341.59       0.000000    -0.001608     0.000003     0.000109
   2503.48      -0.000000    -0.001715     0.000003     0.000124
   2831.38       0.000000     0.001892     0.000004     0.000151
   2871.69      -0.000000     0.001738     0.000003     0.000127
   2886.09       0.000000    -0.002652     0.000007     0.000297
   2983.82       0.000000     0.002269     0.000005     0.000217
   3034.81      -0.000000    -0.001431     0.000002     0.000086
   3074.93      -0.000000    -0.001189     0.000001     0.000060
   3087.86      -0.000000    -0.008521     0.000073     0.003062
   3185.33       0.000000    -0.004005     0.000016     0.000676
   3192.32       0.000000     0.013196     0.000174     0.007344
   3198.94       0.000000     0.021486     0.000462     0.019470
   3200.99       0.000000     0.058951     0.003475     0.146572
   3214.02       0.000000    -0.014157     0.000200     0.008453
   3225.56      -0.000000     0.002950     0.000009     0.000367
   3239.76       0.000000    -0.001954     0.000004     0.000161
   3242.28      -0.000000     0.001356     0.000002     0.000078
   3297.38      -0.000000    -0.014409     0.000208     0.008757
   3361.56      -0.000000    -0.002117     0.000004     0.000189
   3401.81      -0.000000     0.001926     0.000004     0.000157
   3416.32       0.000000    -0.006312     0.000040     0.001681
   3442.95       0.000000     0.002365     0.000006     0.000236
   3513.96       0.000000    -0.001913     0.000004     0.000154
   3564.91      -0.000000     0.003034     0.000009     0.000388
   3567.31       0.000000    -0.002371     0.000006     0.000237
   3581.41       0.000000     0.002192     0.000005     0.000203
   3595.58      -0.000000     0.001141     0.000001     0.000055
   3604.82       0.000000    -0.004618     0.000021     0.000899
   3617.11      -0.000000     0.012268     0.000150     0.006347
   3684.91      -0.000000     0.006431     0.000041     0.001744
   3685.18      -0.000000    -0.005267     0.000028     0.001170
   3688.20      -0.000000    -0.050478     0.002548     0.107466
   3690.23      -0.000000    -0.065564     0.004299     0.181301
   3692.44      -0.000000    -0.001750     0.000003     0.000129
   3711.25      -0.000000     0.001302     0.000002     0.000071
   3719.16      -0.000000     0.076789     0.005897     0.248693
   3722.82       0.000000     0.011377     0.000129     0.005459
   3729.82      -0.000000    -0.003414     0.000012     0.000492
   3734.64      -0.000000     0.003149     0.000010     0.000418
   3743.92       0.000000    -0.002014     0.000004     0.000171
   3755.61      -0.000000     0.002677     0.000007     0.000302
   3768.51       0.000000    -0.002747     0.000008     0.000318
   3780.59      -0.000000    -0.001746     0.000003     0.000129
   3825.94       0.000000     0.016194     0.000262     0.011060
   3847.13       0.000000    -0.001013     0.000001     0.000043
   3848.91       0.000000    -0.015583     0.000243     0.010241
   3856.06       0.000000     0.001874     0.000004     0.000148
   3885.62      -0.000000    -0.019397     0.000376     0.015868
   3891.72      -0.000000    -0.001159     0.000001     0.000057
   3928.78       0.000000    -0.002478     0.000006     0.000259
   3933.51      -0.000000    -0.001932     0.000004     0.000157
   3935.79      -0.000000     0.002115     0.000004     0.000189
   3937.18      -0.000000    -0.001481     0.000002     0.000092
   3946.53      -0.000000     0.007167     0.000051     0.002167
   3950.54       0.000000    -0.001374     0.000002     0.000080
   3972.93      -0.000000    -0.004462     0.000020     0.000840
   3988.71      -0.000000    -0.002656     0.000007     0.000298
   4004.61       0.000000     0.005161     0.000027     0.001123
   4057.31       0.000000    -0.001304     0.000002     0.000072
   4071.64      -0.000000    -0.001010     0.000001     0.000043
