Ground state energy = 26531.92 cm^-1
Max intensity = 0.021630
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized    E / Hartree
     1          0.00    0.00000e+00    0.0007433    0.0000006    0.00002554    1.208883200383411e-01
     2        241.91    0.00000e+00    0.0013191    0.0000017    0.00008044    1.219905522011245e-01
     3        493.86    0.00000e+00    0.0019671    0.0000039    0.00017890    1.231385116619590e-01
     4        530.09    0.00000e+00    0.0005592    0.0000003    0.00001446    1.233035728634624e-01
     5        671.58    0.00000e+00    0.0022426    0.0000050    0.00023251    1.239482730822390e-01
     6        771.97    0.00000e+00    0.0010640    0.0000011    0.00005234    1.244056969557962e-01
     7        898.18    0.00000e+00    0.0005901    0.0000003    0.00001610    1.249807312544185e-01
     8       1023.90    0.00000e+00    0.0015289    0.0000023    0.00010807    1.255535372216866e-01
    10       1139.90    0.00000e+00    0.0006574    0.0000004    0.00001998    1.260820875610759e-01
    11       1201.65    0.00000e+00    0.0017958    0.0000032    0.00014910    1.263634325482073e-01
    13       1302.06    0.00000e+00    0.0005948    0.0000004    0.00001636    1.268209298310659e-01
    16       1391.82    0.00000e+00    0.0016729    0.0000028    0.00012939    1.272299105842516e-01
    17       1428.27    0.00000e+00    0.0004549    0.0000002    0.00000957    1.273959770785200e-01
    18       1440.44    0.00000e+00    0.0032483    0.0000106    0.00048781    1.274514366633545e-01
    21       1544.95    0.00000e+00    0.0006125    0.0000004    0.00001734    1.279276182534183e-01
    22       1553.96    0.00000e+00    0.0008251    0.0000007    0.00003147    1.279686825420079e-01
    23       1569.56    0.00000e+00    0.0019624    0.0000039    0.00017804    1.280397840444079e-01
    26       1630.28    0.00000e+00    0.0004760    0.0000002    0.00001047    1.283164146697044e-01
    28       1669.94    0.00000e+00    0.0005714    0.0000003    0.00001509    1.284971111014363e-01
    29       1682.54    0.00000e+00    0.0039488    0.0000156    0.00072091    1.285545186507839e-01
    30       1731.72    0.00000e+00    0.0009975    0.0000010    0.00004600    1.287786253198075e-01
    34       1786.82    0.00000e+00    0.0006941    0.0000005    0.00002227    1.290296665027109e-01
    35       1796.25    0.00000e+00    0.0003501    0.0000001    0.00000567    1.290726160587838e-01
    37       1875.90    0.00000e+00    0.0003622    0.0000001    0.00000607    1.294355639861143e-01
