Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Wed Apr 14 08:02:16 2021

Ground state energy = 26843.26 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000     0.001987     0.000004     0.000102
     28.21      -0.000000     0.117098     0.013712     0.354271
    159.25       0.000000     0.011835     0.000140     0.003619
    530.07       0.000000     0.001325     0.000002     0.000045
    558.26      -0.000000    -0.097070     0.009423     0.243448
    689.28      -0.000000     0.010060     0.000101     0.002615
    907.79      -0.000000    -0.001427     0.000002     0.000053
    926.19       0.000000     0.096496     0.009311     0.240575
   1001.72      -0.000000    -0.003234     0.000010     0.000270
   1057.33       0.000000    -0.010460     0.000109     0.002827
   1088.32      -0.000000     0.054978     0.003023     0.078092
   1122.16       0.000000     0.016414     0.000269     0.006961
   1219.40       0.000000    -0.005847     0.000034     0.000883
   1252.49       0.000000    -0.004273     0.000018     0.000472
   1253.21      -0.000000    -0.001511     0.000002     0.000059
   1267.79      -0.000000     0.050708     0.002571     0.066433
   1398.92       0.000000     0.005199     0.000027     0.000698
   1416.51      -0.000000    -0.030254     0.000915     0.023649
   1430.52      -0.000000     0.001427     0.000002     0.000053
   1434.74       0.000000    -0.016896     0.000285     0.007376
   1437.84      -0.000000     0.001990     0.000004     0.000102
   1456.21      -0.000000     0.079800     0.006368     0.164526
   1494.28       0.000000     0.011258     0.000127     0.003274
   1520.37       0.000000     0.194857     0.037969     0.980998
   1531.73      -0.000000    -0.003234     0.000010     0.000270
   1547.56       0.000000     0.003265     0.000011     0.000275
   1587.36      -0.000000     0.008906     0.000079     0.002049
   1604.11      -0.000000    -0.060131     0.003616     0.093417
   1623.57       0.000000     0.023601     0.000557     0.014391
   1626.67       0.000000    -0.016724     0.000280     0.007226
   1652.21      -0.000000     0.013473     0.000182     0.004690
   1668.45      -0.000000     0.045412     0.002062     0.053282
   1676.09       0.000000    -0.043983     0.001935     0.049982
   1754.67       0.000000     0.002577     0.000007     0.000172
   1757.73      -0.000000    -0.001670     0.000003     0.000072
   1782.37      -0.000000    -0.003730     0.000014     0.000359
   1783.27      -0.000000    -0.001305     0.000002     0.000044
   1797.81      -0.000000    -0.041988     0.001763     0.045550
   1800.02      -0.000000     0.004606     0.000021     0.000548
   1807.59       0.000000     0.004428     0.000020     0.000507
   1823.93       0.000000     0.048199     0.002323     0.060022
   1899.23       0.000000    -0.002660     0.000007     0.000183
   1922.95       0.000000     0.001684     0.000003     0.000073
   1928.96       0.000000    -0.004405     0.000019     0.000501
   1946.57      -0.000000    -0.027694     0.000767     0.019815
   1955.21       0.000000    -0.005620     0.000032     0.000816
   1960.44       0.000000     0.001147     0.000001     0.000034
   1964.75      -0.000000    -0.013224     0.000175     0.004518
   1967.90       0.000000     0.001637     0.000003     0.000069
   1986.25       0.000000    -0.045091     0.002033     0.052530
   2020.13       0.000000     0.014167     0.000201     0.005185
   2024.13      -0.000000    -0.009125     0.000083     0.002151
   2050.30      -0.000000    -0.164683     0.027120     0.700697
   2061.72      -0.000000    -0.002265     0.000005     0.000133
   2077.62       0.000000    -0.003043     0.000009     0.000239
   2117.42       0.000000    -0.005195     0.000027     0.000697
   2134.10      -0.000000    -0.051678     0.002671     0.068999
   2147.28      -0.000000     0.001682     0.000003     0.000073
   2149.60      -0.000000     0.004016     0.000016     0.000417
   2151.28       0.000000    -0.001469     0.000002     0.000056
   2156.74      -0.000000     0.014096     0.000199     0.005133
   2165.57       0.000000     0.042650     0.001819     0.046997
   2182.28       0.000000     0.007512     0.000056     0.001458
   2198.27      -0.000000     0.037301     0.001391     0.035948
   2206.09      -0.000000    -0.036621     0.001341     0.034649
   2240.35      -0.000000     0.001842     0.000003     0.000088
   2287.80       0.000000     0.001444     0.000002     0.000054
   2296.09      -0.000000     0.004458     0.000020     0.000514
   2296.84       0.000000     0.004663     0.000022     0.000562
   2312.25       0.000000    -0.002346     0.000006     0.000142
   2314.50      -0.000000     0.024660     0.000608     0.015711
   2327.85      -0.000000     0.023775     0.000565     0.014604
   2329.90       0.000000    -0.003905     0.000015     0.000394
   2332.37       0.000000     0.012784     0.000163     0.004223
   2337.63      -0.000000    -0.003769     0.000014     0.000367
   2353.88      -0.000000     0.039816     0.001585     0.040958
   2361.71       0.000000    -0.006147     0.000038     0.000976
   2390.15      -0.000000    -0.001115     0.000001     0.000032
   2391.13       0.000000    -0.008433     0.000071     0.001837
   2399.71       0.000000    -0.015859     0.000252     0.006498
   2417.68      -0.000000    -0.196736     0.038705     1.000000
   2429.14      -0.000000     0.003292     0.000011     0.000280
   2445.65      -0.000000    -0.002925     0.000009     0.000221
   2452.70       0.000000    -0.001757     0.000003     0.000080
   2459.04       0.000000     0.002584     0.000007     0.000172
   2459.69      -0.000000    -0.001172     0.000001     0.000035
   2476.64       0.000000     0.017272     0.000298     0.007708
   2483.56       0.000000     0.006205     0.000038     0.000995
   2485.19      -0.000000     0.004829     0.000023     0.000602
   2489.57       0.000000    -0.002859     0.000008     0.000211
   2490.41       0.000000    -0.001218     0.000001     0.000038
   2492.86       0.000000    -0.003599     0.000013     0.000335
   2492.88       0.000000     0.005251     0.000028     0.000712
   2494.76      -0.000000     0.007006     0.000049     0.001268
   2501.67      -0.000000    -0.063541     0.004037     0.104314
   2503.13      -0.000000     0.001025     0.000001     0.000027
   2505.17      -0.000000    -0.001975     0.000004     0.000101
   2508.40      -0.000000     0.014431     0.000208     0.005381
   2510.46       0.000000    -0.004463     0.000020     0.000515
   2521.43      -0.000000     0.019407     0.000377     0.009730
   2524.32       0.000000    -0.001226     0.000002     0.000039
   2524.66      -0.000000     0.013488     0.000182     0.004700
   2528.65       0.000000     0.002322     0.000005     0.000139
   2547.28      -0.000000     0.002791     0.000008     0.000201
   2550.14       0.000000    -0.011487     0.000132     0.003409
   2553.96       0.000000     0.004889     0.000024     0.000618
   2565.02       0.000000    -0.038314     0.001468     0.037926
   2573.58      -0.000000     0.038560     0.001487     0.038416
   2576.73      -0.000000     0.001407     0.000002     0.000051
   2580.25      -0.000000     0.095096     0.009043     0.233645
   2596.85      -0.000000     0.001072     0.000001     0.000030
   2607.72       0.000000     0.001934     0.000004     0.000097
   2614.17      -0.000000     0.024947     0.000622     0.016079
   2639.56      -0.000000    -0.001430     0.000002     0.000053
   2640.22       0.000000     0.002825     0.000008     0.000206
   2642.31       0.000000    -0.001572     0.000002     0.000064
   2652.64      -0.000000     0.002341     0.000005     0.000142
   2655.80      -0.000000    -0.001426     0.000002     0.000053
   2656.05       0.000000    -0.002650     0.000007     0.000181
   2656.08       0.000000    -0.012874     0.000166     0.004282
   2656.23       0.000000     0.003024     0.000009     0.000236
   2664.10      -0.000000     0.030385     0.000923     0.023854
   2673.85       0.000000    -0.006979     0.000049     0.001258
   2677.29       0.000000     0.001922     0.000004     0.000095
   2679.35       0.000000    -0.003458     0.000012     0.000309
   2681.32       0.000000     0.001247     0.000002     0.000040
   2686.81      -0.000000    -0.008167     0.000067     0.001723
   2695.52      -0.000000    -0.035232     0.001241     0.032071
   2696.95      -0.000000    -0.004306     0.000019     0.000479
   2698.00      -0.000000    -0.007466     0.000056     0.001440
   2705.40      -0.000000     0.004096     0.000017     0.000434
   2717.52      -0.000000    -0.003048     0.000009     0.000240
   2721.56       0.000000     0.015134     0.000229     0.005918
   2727.95      -0.000000     0.002800     0.000008     0.000203
   2728.06       0.000000     0.020812     0.000433     0.011191
   2731.01      -0.000000    -0.004571     0.000021     0.000540
   2736.05       0.000000    -0.023984     0.000575     0.014862
   2736.71      -0.000000     0.010410     0.000108     0.002800
   2758.87      -0.000000     0.087913     0.007729     0.199682
   2762.20       0.000000     0.016137     0.000260     0.006728
   2769.94      -0.000000     0.007235     0.000052     0.001352
   2770.17       0.000000     0.002161     0.000005     0.000121
   2787.23       0.000000     0.001500     0.000002     0.000058
   2796.24       0.000000    -0.001726     0.000003     0.000077
   2801.77       0.000000     0.001932     0.000004     0.000096
   2819.39      -0.000000    -0.001673     0.000003     0.000072
   2823.04       0.000000    -0.004183     0.000017     0.000452
   2824.58      -0.000000     0.002913     0.000008     0.000219
   2826.14      -0.000000    -0.004051     0.000016     0.000424
   2826.84      -0.000000     0.003981     0.000016     0.000409
   2843.10      -0.000000    -0.027538     0.000758     0.019593
   2844.53      -0.000000    -0.022817     0.000521     0.013451
   2847.21       0.000000    -0.001120     0.000001     0.000032
   2850.72      -0.000000    -0.001636     0.000003     0.000069
   2853.01       0.000000    -0.001930     0.000004     0.000096
   2859.79       0.000000     0.002058     0.000004     0.000109
   2862.30       0.000000     0.009773     0.000096     0.002468
   2863.05       0.000000    -0.010426     0.000109     0.002808
   2866.21      -0.000000    -0.008527     0.000073     0.001879
   2867.69       0.000000     0.002181     0.000005     0.000123
   2880.43      -0.000000     0.005465     0.000030     0.000772
   2882.81      -0.000000    -0.003859     0.000015     0.000385
   2883.85      -0.000000     0.022473     0.000505     0.013048
   2891.73      -0.000000     0.004779     0.000023     0.000590
   2895.37      -0.000000     0.003931     0.000015     0.000399
   2897.93      -0.000000    -0.002581     0.000007     0.000172
   2902.63      -0.000000    -0.012268     0.000151     0.003888
   2904.09       0.000000    -0.017066     0.000291     0.007525
   2908.64      -0.000000    -0.047682     0.002274     0.058740
   2914.81      -0.000000    -0.014008     0.000196     0.005070
   2916.37       0.000000     0.015869     0.000252     0.006507
   2917.84       0.000000    -0.007459     0.000056     0.001437
   2920.13      -0.000000    -0.001229     0.000002     0.000039
   2920.81      -0.000000    -0.006848     0.000047     0.001212
   2929.60      -0.000000    -0.014843     0.000220     0.005692
   2941.08      -0.000000     0.001013     0.000001     0.000027
   2947.49       0.000000     0.165072     0.027249     0.704011
   2958.83      -0.000000    -0.020806     0.000433     0.011185
   2959.04       0.000000    -0.002410     0.000006     0.000150
   2975.69      -0.000000     0.002735     0.000007     0.000193
   2978.74       0.000000    -0.019715     0.000389     0.010042
   2989.60       0.000000    -0.001130     0.000001     0.000033
   2992.38      -0.000000     0.015329     0.000235     0.006071
   2994.27       0.000000     0.001131     0.000001     0.000033
   3002.22       0.000000     0.002542     0.000006     0.000167
   3011.89      -0.000000     0.008130     0.000066     0.001708
   3013.52      -0.000000     0.005671     0.000032     0.000831
   3014.99      -0.000000     0.004495     0.000020     0.000522
   3015.19      -0.000000    -0.002828     0.000008     0.000207
   3018.35       0.000000    -0.002313     0.000005     0.000138
   3022.61      -0.000000    -0.004722     0.000022     0.000576
   3029.91       0.000000     0.002792     0.000008     0.000201
   3031.57       0.000000    -0.054077     0.002924     0.075553
   3033.15      -0.000000    -0.001255     0.000002     0.000041
   3034.42       0.000000     0.009392     0.000088     0.002279
   3034.97      -0.000000     0.002029     0.000004     0.000106
   3038.40      -0.000000    -0.012003     0.000144     0.003723
   3040.52       0.000000    -0.004054     0.000016     0.000425
   3044.60      -0.000000     0.001606     0.000003     0.000067
   3047.02       0.000000     0.002165     0.000005     0.000121
   3054.67      -0.000000     0.011593     0.000134     0.003473
   3056.29      -0.000000    -0.009650     0.000093     0.002406
   3058.48      -0.000000    -0.009552     0.000091     0.002358
   3058.65       0.000000    -0.002436     0.000006     0.000153
   3062.93       0.000000     0.021422     0.000459     0.011857
   3064.59       0.000000    -0.013798     0.000190     0.004919
   3066.37       0.000000    -0.003504     0.000012     0.000317
   3071.17       0.000000    -0.007492     0.000056     0.001450
   3076.78      -0.000000    -0.001484     0.000002     0.000057
   3080.16       0.000000    -0.006308     0.000040     0.001028
   3080.98      -0.000000    -0.008559     0.000073     0.001893
   3085.45       0.000000    -0.001421     0.000002     0.000052
   3088.91      -0.000000    -0.001682     0.000003     0.000073
   3091.74      -0.000000     0.006983     0.000049     0.001260
   3092.11       0.000000     0.103565     0.010726     0.277113
   3092.52      -0.000000     0.002026     0.000004     0.000106
   3094.61       0.000000     0.034247     0.001173     0.030302
   3103.48       0.000000     0.031853     0.001015     0.026213
   3114.96       0.000000    -0.002410     0.000006     0.000150
   3115.32       0.000000     0.042651     0.001819     0.046999
   3117.38       0.000000    -0.003792     0.000014     0.000371
   3118.30       0.000000     0.020643     0.000426     0.011010
   3118.81       0.000000    -0.024213     0.000586     0.015147
   3120.18      -0.000000    -0.005278     0.000028     0.000720
   3136.66       0.000000    -0.003972     0.000016     0.000408
   3137.71      -0.000000    -0.006004     0.000036     0.000931
   3144.00      -0.000000     0.015598     0.000243     0.006286
   3148.97       0.000000     0.001845     0.000003     0.000088
   3150.86      -0.000000     0.058493     0.003421     0.088398
   3152.40       0.000000     0.007933     0.000063     0.001626
   3156.90      -0.000000    -0.030638     0.000939     0.024252
   3159.02       0.000000    -0.012480     0.000156     0.004024
   3164.33       0.000000     0.021781     0.000474     0.012257
   3164.49      -0.000000     0.117299     0.013759     0.355486
   3169.09      -0.000000     0.025374     0.000644     0.016635
   3169.61       0.000000     0.002909     0.000008     0.000219
   3171.23      -0.000000     0.001167     0.000001     0.000035
   3171.65      -0.000000     0.006791     0.000046     0.001191
   3185.55       0.000000    -0.002583     0.000007     0.000172
   3185.84       0.000000     0.001313     0.000002     0.000045
   3186.03       0.000000    -0.003062     0.000009     0.000242
   3186.09       0.000000     0.012893     0.000166     0.004295
   3188.39       0.000000    -0.001865     0.000003     0.000090
   3190.33       0.000000     0.004536     0.000021     0.000531
   3190.59      -0.000000     0.001425     0.000002     0.000052
   3194.01       0.000000     0.003291     0.000011     0.000280
   3194.20      -0.000000     0.004794     0.000023     0.000594
   3194.45       0.000000     0.003790     0.000014     0.000371
   3195.93       0.000000    -0.001949     0.000004     0.000098
   3199.23       0.000000    -0.013669     0.000187     0.004827
   3200.88       0.000000     0.002676     0.000007     0.000185
   3202.58       0.000000    -0.008756     0.000077     0.001981
   3203.76       0.000000     0.005356     0.000029     0.000741
   3206.19      -0.000000    -0.001770     0.000003     0.000081
   3207.28      -0.000000     0.001680     0.000003     0.000073
   3209.05       0.000000    -0.003082     0.000009     0.000245
   3211.70      -0.000000     0.001226     0.000002     0.000039
   3211.97       0.000000     0.014758     0.000218     0.005627
   3222.05      -0.000000    -0.003692     0.000014     0.000352
   3225.48      -0.000000     0.019965     0.000399     0.010299
   3226.70       0.000000     0.003942     0.000016     0.000401
   3227.96       0.000000    -0.006161     0.000038     0.000981
   3229.53      -0.000000    -0.005278     0.000028     0.000720
   3231.22      -0.000000     0.003237     0.000010     0.000271
   3235.39       0.000000    -0.003614     0.000013     0.000337
   3239.20       0.000000    -0.015411     0.000238     0.006136
   3239.25      -0.000000    -0.013683     0.000187     0.004837
   3241.18       0.000000    -0.002591     0.000007     0.000173
   3249.55       0.000000    -0.003590     0.000013     0.000333
   3250.14      -0.000000    -0.027273     0.000744     0.019218
   3250.68       0.000000    -0.002933     0.000009     0.000222
   3250.90      -0.000000    -0.001180     0.000001     0.000036
   3251.41      -0.000000     0.013282     0.000176     0.004558
   3259.40      -0.000000    -0.002659     0.000007     0.000183
   3259.62       0.000000    -0.004219     0.000018     0.000460
   3259.64      -0.000000    -0.005388     0.000029     0.000750
   3263.03      -0.000000     0.009026     0.000081     0.002105
   3263.37       0.000000     0.001989     0.000004     0.000102
   3266.53      -0.000000    -0.009022     0.000081     0.002103
   3269.35       0.000000     0.005827     0.000034     0.000877
   3269.69       0.000000    -0.004159     0.000017     0.000447
   3270.50       0.000000     0.007757     0.000060     0.001555
   3271.26       0.000000    -0.007922     0.000063     0.001622
   3274.70      -0.000000    -0.007937     0.000063     0.001628
   3279.35      -0.000000     0.001157     0.000001     0.000035
   3285.69      -0.000000    -0.016737     0.000280     0.007238
   3286.47      -0.000000     0.004141     0.000017     0.000443
   3287.68      -0.000000     0.004741     0.000022     0.000581
   3288.51       0.000000     0.073943     0.005468     0.141264
   3291.88       0.000000    -0.015920     0.000253     0.006548
   3296.30      -0.000000     0.014225     0.000202     0.005228
   3299.95      -0.000000    -0.005084     0.000026     0.000668
   3300.11      -0.000000     0.004937     0.000024     0.000630
   3308.29       0.000000    -0.002559     0.000007     0.000169
   3311.41      -0.000000    -0.007373     0.000054     0.001405
   3314.19      -0.000000    -0.123026     0.015135     0.391048
   3317.28      -0.000000     0.001538     0.000002     0.000061
   3321.03      -0.000000     0.010016     0.000100     0.002592
   3324.07       0.000000    -0.004232     0.000018     0.000463
   3325.99       0.000000    -0.001131     0.000001     0.000033
   3331.16       0.000000     0.006740     0.000045     0.001174
   3334.44       0.000000    -0.002747     0.000008     0.000195
   3343.52      -0.000000    -0.001667     0.000003     0.000072
   3348.74      -0.000000    -0.001314     0.000002     0.000045
   3348.97       0.000000    -0.001821     0.000003     0.000086
   3353.02       0.000000     0.003705     0.000014     0.000355
   3353.93      -0.000000     0.003493     0.000012     0.000315
   3356.21      -0.000000    -0.002566     0.000007     0.000170
   3356.49      -0.000000     0.001072     0.000001     0.000030
   3356.85       0.000000     0.002311     0.000005     0.000138
   3370.97       0.000000     0.001172     0.000001     0.000035
   3371.32       0.000000    -0.001485     0.000002     0.000057
   3372.40      -0.000000    -0.001174     0.000001     0.000036
   3372.94      -0.000000     0.001407     0.000002     0.000051
   3372.95       0.000000     0.022963     0.000527     0.013623
   3374.55      -0.000000    -0.014537     0.000211     0.005460
   3380.57       0.000000    -0.001895     0.000004     0.000093
   3380.93      -0.000000    -0.005277     0.000028     0.000720
   3382.93      -0.000000    -0.001643     0.000003     0.000070
   3383.67       0.000000    -0.002382     0.000006     0.000147
   3386.96       0.000000    -0.008251     0.000068     0.001759
   3387.32      -0.000000    -0.001569     0.000002     0.000064
   3389.46       0.000000    -0.006028     0.000036     0.000939
   3389.99       0.000000     0.001410     0.000002     0.000051
   3392.22       0.000000     0.014700     0.000216     0.005583
   3396.27      -0.000000    -0.006503     0.000042     0.001093
   3398.34       0.000000    -0.005904     0.000035     0.000900
   3398.74      -0.000000    -0.042369     0.001795     0.046379
   3400.78      -0.000000     0.001060     0.000001     0.000029
   3402.07       0.000000     0.003126     0.000010     0.000252
   3402.96       0.000000    -0.001055     0.000001     0.000029
