Ground state energy = 26989.37 cm^-1
Max intensity = 0.003227
Number    ΔE / cm^-1    convergence    amplitude    intensity    normalized intensity
     4        247.45       0.000000     0.001730     0.000003     0.000927
     7        489.48       0.000000     0.002736     0.000007     0.002320
    13        740.50       0.000000     0.004708     0.000022     0.006868
    16        777.50       0.000000     0.001310     0.000002     0.000531
    22        918.36       0.000000     0.005256     0.000028     0.008560
    24       1019.50       0.000000     0.002218     0.000005     0.001524
    34       1145.33       0.000000     0.001584     0.000003     0.000777
    40       1270.43       0.000000     0.003609     0.000013     0.004035
    53       1387.15       0.000000     0.001465     0.000002     0.000665
    62       1448.34       0.000000     0.004145     0.000017     0.005325
    73       1549.52       0.000000     0.001258     0.000002     0.000491
    87       1619.90       0.000000     0.001014     0.000001     0.000319
    93       1637.89       0.000000     0.004666     0.000022     0.006745
   101       1675.34       0.000000     0.001224     0.000001     0.000465
   111       1739.00       0.000000     0.004701     0.000022     0.006847
   126       1797.71       0.000000     0.001387     0.000002     0.000596
   127       1800.36       0.000000     0.001918     0.000004     0.001140
   131       1815.78       0.000000     0.005380     0.000029     0.008969
   133       1822.98       0.000000     0.001472     0.000002     0.000672
   149       1877.83       0.000000     0.001137     0.000001     0.000401
   161       1917.09       0.000000     0.001323     0.000002     0.000543
   165       1931.67       0.000000     0.001054     0.000001     0.000344
   177       1978.26       0.000000     0.002707     0.000007     0.002271
   179       1981.45       0.000000     0.003762     0.000014     0.004386
   200       2042.92       0.000000     0.001237     0.000002     0.000474
   207       2065.04       0.000000     0.001083     0.000001     0.000363
   218       2109.51       0.000000     0.001141     0.000001     0.000404
   227       2128.65       0.000000     0.002074     0.000004     0.001333
   229       2131.43       0.000000     0.001096     0.000001     0.000372
   243       2156.47       0.000000     0.001690     0.000003     0.000885
   247       2167.71       0.000000     0.003660     0.000013     0.004152
   267       2227.98       0.000000     0.013922     0.000194     0.060057
   284       2268.87       0.000000     0.003459     0.000012     0.003707
