Vibronics version 0
Yifan Shen 2021

Echo of user command line input:
/home-4/yshen57@jhu.edu/Software/Mine/vibronics/tools/eig/eig.exe -a alpha.txt -b beta.txt

Sat Apr 10 21:11:12 2021

Ground state energy = 27492.87 cm^-1
ΔE / cm^-1    convergence    amplitude     strength    normalized strength
      0.00       0.000000     0.001644     0.000003     0.000097
    530.15      -0.000000    -0.001326     0.000002     0.000063
   1495.56      -0.000000     0.002004     0.000004     0.000143
   2025.72      -0.000000    -0.001567     0.000002     0.000088
   2393.66       0.000000    -0.001315     0.000002     0.000062
   2476.32       0.000000     0.001108     0.000001     0.000044
   2544.12      -0.000000    -0.002022     0.000004     0.000146
   2555.86      -0.000000    -0.001526     0.000002     0.000083
   2627.56       0.000000    -0.021858     0.000478     0.017065
   2636.05       0.000000    -0.060344     0.003641     0.130072
   2638.33       0.000000     0.004833     0.000023     0.000834
   2639.82       0.000000    -0.001934     0.000004     0.000134
   2648.71      -0.000000     0.004603     0.000021     0.000757
   2668.96       0.000000    -0.004459     0.000020     0.000710
   2695.18      -0.000000    -0.002388     0.000006     0.000204
   2706.53      -0.000000    -0.002841     0.000008     0.000288
   2736.47       0.000000    -0.005465     0.000030     0.001067
   2855.69      -0.000000    -0.001004     0.000001     0.000036
   2888.04       0.000000    -0.005808     0.000034     0.001205
   2923.74      -0.000000    -0.003300     0.000011     0.000389
   3004.54      -0.000000     0.001670     0.000003     0.000100
   3006.35      -0.000000    -0.001881     0.000004     0.000126
   3023.29       0.000000     0.006619     0.000044     0.001565
   3034.69       0.000000    -0.001271     0.000002     0.000058
   3036.86      -0.000000     0.002161     0.000005     0.000167
   3060.91      -0.000000     0.002649     0.000007     0.000251
   3073.34      -0.000000     0.010842     0.000118     0.004199
   3091.24      -0.000000     0.004146     0.000017     0.000614
   3123.40       0.000000     0.080083     0.006413     0.229084
   3129.64       0.000000    -0.001865     0.000003     0.000124
   3139.22      -0.000000    -0.003448     0.000012     0.000425
   3142.04       0.000000    -0.003960     0.000016     0.000560
   3158.90      -0.000000     0.005974     0.000036     0.001275
   3178.84      -0.000000     0.001560     0.000002     0.000087
   3199.07       0.000000    -0.003887     0.000015     0.000540
   3225.10      -0.000000     0.001610     0.000003     0.000093
   3241.91       0.000000    -0.003951     0.000016     0.000558
   3266.13       0.000000    -0.003515     0.000012     0.000441
   3266.28      -0.000000     0.006363     0.000040     0.001446
   3271.37       0.000000     0.015131     0.000229     0.008178
   3293.26       0.000000    -0.007501     0.000056     0.002010
   3302.37      -0.000000    -0.007376     0.000054     0.001943
   3385.50      -0.000000     0.001323     0.000002     0.000063
   3400.51      -0.000000    -0.003288     0.000011     0.000386
   3413.90      -0.000000     0.002512     0.000006     0.000225
   3416.90       0.000000    -0.006382     0.000041     0.001455
   3429.25       0.000000     0.037897     0.001436     0.051301
   3442.77      -0.000000     0.010688     0.000114     0.004080
   3453.83      -0.000000     0.002376     0.000006     0.000202
   3512.00       0.000000    -0.008111     0.000066     0.002350
   3536.33       0.000000    -0.001933     0.000004     0.000134
   3538.44       0.000000     0.001246     0.000002     0.000055
   3541.55      -0.000000    -0.002594     0.000007     0.000240
   3543.34      -0.000000    -0.008273     0.000068     0.002445
   3543.94       0.000000    -0.005180     0.000027     0.000958
   3548.99      -0.000000    -0.007770     0.000060     0.002156
   3564.74      -0.000000     0.001480     0.000002     0.000078
   3566.75       0.000000    -0.004917     0.000024     0.000864
   3595.02      -0.000000     0.003489     0.000012     0.000435
   3600.81       0.000000     0.026496     0.000702     0.025077
   3624.94       0.000000     0.062788     0.003942     0.140821
   3638.40       0.000000    -0.002312     0.000005     0.000191
   3666.65       0.000000     0.001138     0.000001     0.000046
   3668.28       0.000000    -0.002675     0.000007     0.000256
   3673.62       0.000000    -0.003055     0.000009     0.000333
   3688.96       0.000000    -0.002484     0.000006     0.000220
   3734.44       0.000000    -0.002027     0.000004     0.000147
   3754.56      -0.000000    -0.001270     0.000002     0.000058
   3772.70      -0.000000    -0.016385     0.000268     0.009590
   3784.75       0.000000    -0.004951     0.000025     0.000876
   3796.47      -0.000000    -0.003526     0.000012     0.000444
   3822.94      -0.000000    -0.009495     0.000090     0.003220
   3878.31      -0.000000     0.001788     0.000003     0.000114
   3901.69       0.000000    -0.001299     0.000002     0.000060
   3904.43      -0.000000     0.003160     0.000010     0.000357
   3910.66      -0.000000     0.001311     0.000002     0.000061
   3914.38      -0.000000    -0.043246     0.001870     0.066805
   3915.51      -0.000000     0.029191     0.000852     0.030437
   3924.71       0.000000    -0.007034     0.000049     0.001767
   3931.13       0.000000    -0.006586     0.000043     0.001549
   3942.86      -0.000000     0.001809     0.000003     0.000117
   3944.20       0.000000     0.002315     0.000005     0.000191
   3946.19      -0.000000    -0.003390     0.000011     0.000411
   3948.62      -0.000000    -0.010428     0.000109     0.003885
   3952.28       0.000000    -0.002057     0.000004     0.000151
   3972.65       0.000000    -0.002094     0.000004     0.000157
   3974.94       0.000000    -0.004061     0.000016     0.000589
   3989.25      -0.000000     0.001351     0.000002     0.000065
   4009.60       0.000000     0.001348     0.000002     0.000065
   4012.64       0.000000     0.004830     0.000023     0.000833
   4012.72       0.000000    -0.003066     0.000009     0.000336
   4028.11       0.000000    -0.001384     0.000002     0.000068
   4032.93       0.000000     0.016800     0.000282     0.010082
   4036.07      -0.000000    -0.003373     0.000011     0.000406
   4068.48       0.000000     0.001017     0.000001     0.000037
   4073.21       0.000000     0.001923     0.000004     0.000132
   4075.51      -0.000000    -0.012975     0.000168     0.006014
   4076.44      -0.000000    -0.018385     0.000338     0.012073
   4076.90       0.000000    -0.002965     0.000009     0.000314
   4084.17       0.000000     0.005535     0.000031     0.001094
   4095.10       0.000000     0.003125     0.000010     0.000349
   4096.67      -0.000000    -0.004566     0.000021     0.000745
   4117.06      -0.000000     0.001090     0.000001     0.000042
   4120.93      -0.000000     0.001022     0.000001     0.000037
   4124.98      -0.000000     0.002990     0.000009     0.000319
   4125.42      -0.000000    -0.001862     0.000003     0.000124
   4133.90       0.000000    -0.004226     0.000018     0.000638
   4136.99       0.000000    -0.013280     0.000176     0.006300
   4157.87      -0.000000    -0.006643     0.000044     0.001576
   4163.94       0.000000     0.003844     0.000015     0.000528
   4172.29      -0.000000    -0.042438     0.001801     0.064331
   4176.53       0.000000    -0.001296     0.000002     0.000060
   4195.71       0.000000     0.004585     0.000021     0.000751
   4201.96      -0.000000    -0.004582     0.000021     0.000750
   4202.63      -0.000000     0.002450     0.000006     0.000214
   4224.42       0.000000     0.001828     0.000003     0.000119
   4244.97       0.000000     0.001008     0.000001     0.000036
   4276.64      -0.000000    -0.001956     0.000004     0.000137
   4283.87       0.000000     0.001094     0.000001     0.000043
   4287.19      -0.000000     0.001195     0.000001     0.000051
   4293.55      -0.000000    -0.002399     0.000006     0.000206
   4299.28      -0.000000     0.001551     0.000002     0.000086
   4305.86       0.000000    -0.002284     0.000005     0.000186
   4312.12       0.000000    -0.001245     0.000002     0.000055
   4314.86      -0.000000     0.006424     0.000041     0.001474
   4315.82       0.000000     0.001657     0.000003     0.000098
   4330.52      -0.000000    -0.001019     0.000001     0.000037
   4331.97       0.000000    -0.004392     0.000019     0.000689
   4352.44      -0.000000    -0.010301     0.000106     0.003791
   4355.74       0.000000    -0.003450     0.000012     0.000425
   4380.61      -0.000000     0.005610     0.000031     0.001124
   4412.86       0.000000     0.031454     0.000989     0.035339
   4415.17      -0.000000     0.037859     0.001433     0.051198
   4434.49      -0.000000    -0.001591     0.000003     0.000090
   4436.36       0.000000    -0.001304     0.000002     0.000061
   4442.57       0.000000     0.002574     0.000007     0.000237
   4445.16      -0.000000     0.004498     0.000020     0.000723
   4447.32       0.000000    -0.001044     0.000001     0.000039
   4450.74       0.000000    -0.001595     0.000003     0.000091
   4450.88       0.000000     0.002206     0.000005     0.000174
   4461.14      -0.000000     0.002109     0.000004     0.000159
   4463.85      -0.000000     0.001162     0.000001     0.000048
   4470.69      -0.000000    -0.002703     0.000007     0.000261
   4472.47      -0.000000    -0.001375     0.000002     0.000067
   4474.26      -0.000000     0.002509     0.000006     0.000225
   4479.61      -0.000000    -0.001295     0.000002     0.000060
   4480.83       0.000000     0.002530     0.000006     0.000229
   4483.98      -0.000000    -0.006111     0.000037     0.001334
   4502.48       0.000000    -0.001845     0.000003     0.000122
   4505.19       0.000000    -0.002428     0.000006     0.000211
   4528.53       0.000000     0.009446     0.000089     0.003187
   4529.73       0.000000     0.014066     0.000198     0.007067
   4530.15       0.000000     0.008622     0.000074     0.002655
   4530.26       0.000000    -0.017371     0.000302     0.010779
   4531.71       0.000000    -0.004243     0.000018     0.000643
   4536.73       0.000000    -0.008679     0.000075     0.002691
   4554.95       0.000000    -0.021816     0.000476     0.017000
   4556.68      -0.000000    -0.002443     0.000006     0.000213
   4560.80      -0.000000     0.003923     0.000015     0.000550
   4561.95      -0.000000    -0.001310     0.000002     0.000061
   4564.69      -0.000000    -0.024176     0.000584     0.020878
   4565.31       0.000000    -0.046198     0.002134     0.076238
   4567.48      -0.000000     0.005246     0.000028     0.000983
   4572.80      -0.000000     0.001718     0.000003     0.000105
   4582.48      -0.000000    -0.020518     0.000421     0.015038
   4584.60      -0.000000    -0.002487     0.000006     0.000221
   4587.76       0.000000     0.005057     0.000026     0.000914
   4589.31       0.000000     0.001104     0.000001     0.000044
   4613.56       0.000000     0.001423     0.000002     0.000072
   4630.41      -0.000000     0.002108     0.000004     0.000159
   4632.20      -0.000000    -0.002034     0.000004     0.000148
   4641.62       0.000000    -0.005295     0.000028     0.001002
   4645.74       0.000000     0.001793     0.000003     0.000115
   4654.68      -0.000000     0.001176     0.000001     0.000049
   4654.91       0.000000    -0.002290     0.000005     0.000187
   4655.02       0.000000     0.001062     0.000001     0.000040
   4660.87       0.000000    -0.004932     0.000024     0.000869
   4676.62       0.000000     0.001156     0.000001     0.000048
   4678.89      -0.000000    -0.003634     0.000013     0.000472
   4681.98       0.000000     0.004594     0.000021     0.000754
   4685.20       0.000000    -0.001479     0.000002     0.000078
   4694.93      -0.000000    -0.001427     0.000002     0.000073
   4698.69       0.000000     0.002045     0.000004     0.000149
   4703.69       0.000000     0.001604     0.000003     0.000092
   4709.55       0.000000    -0.001159     0.000001     0.000048
   4722.31       0.000000    -0.002920     0.000009     0.000305
   4723.29      -0.000000     0.004174     0.000017     0.000622
   4731.03      -0.000000    -0.004555     0.000021     0.000741
   4733.08      -0.000000     0.002130     0.000005     0.000162
   4734.96       0.000000     0.001002     0.000001     0.000036
   4759.26       0.000000     0.001926     0.000004     0.000133
   4760.19      -0.000000     0.001110     0.000001     0.000044
   4780.37       0.000000    -0.002284     0.000005     0.000186
   4781.35      -0.000000     0.066846     0.004468     0.159610
   4789.56      -0.000000    -0.002262     0.000005     0.000183
   4798.82      -0.000000     0.014443     0.000209     0.007452
   4800.36       0.000000    -0.005693     0.000032     0.001158
   4800.96      -0.000000     0.068295     0.004664     0.166609
   4801.30       0.000000    -0.002386     0.000006     0.000203
   4801.53       0.000000     0.003446     0.000012     0.000424
   4806.33      -0.000000    -0.007570     0.000057     0.002047
   4807.49       0.000000     0.001123     0.000001     0.000045
   4809.27       0.000000     0.005642     0.000032     0.001137
   4809.71      -0.000000    -0.001666     0.000003     0.000099
   4811.35      -0.000000     0.001004     0.000001     0.000036
   4813.87       0.000000    -0.001009     0.000001     0.000036
   4816.42      -0.000000    -0.001782     0.000003     0.000113
   4826.85       0.000000     0.001077     0.000001     0.000041
   4829.44       0.000000    -0.003663     0.000013     0.000479
   4842.18       0.000000    -0.001089     0.000001     0.000042
   4844.77      -0.000000    -0.006574     0.000043     0.001544
   4845.43       0.000000    -0.003395     0.000012     0.000412
   4870.40      -0.000000     0.004270     0.000018     0.000651
   4870.89      -0.000000    -0.006552     0.000043     0.001534
   4871.58      -0.000000     0.002982     0.000009     0.000318
   4872.90       0.000000     0.001357     0.000002     0.000066
   4887.97      -0.000000    -0.007558     0.000057     0.002041
   4890.75      -0.000000     0.001039     0.000001     0.000039
   4896.63      -0.000000     0.003852     0.000015     0.000530
   4909.38       0.000000    -0.010594     0.000112     0.004009
   4912.59       0.000000     0.001122     0.000001     0.000045
   4928.70       0.000000     0.003795     0.000014     0.000514
   4930.23      -0.000000     0.001623     0.000003     0.000094
   4931.40       0.000000     0.002512     0.000006     0.000225
   4934.17      -0.000000     0.002137     0.000005     0.000163
   4941.39      -0.000000     0.001612     0.000003     0.000093
   4951.70      -0.000000    -0.006664     0.000044     0.001586
   4955.25      -0.000000    -0.004323     0.000019     0.000667
   4958.93      -0.000000     0.002629     0.000007     0.000247
   4959.70      -0.000000     0.001520     0.000002     0.000083
   4961.19      -0.000000    -0.029922     0.000895     0.031981
   4961.32       0.000000    -0.021549     0.000464     0.016586
   4962.26       0.000000     0.001335     0.000002     0.000064
   4964.56      -0.000000     0.003424     0.000012     0.000419
   4966.37      -0.000000    -0.004400     0.000019     0.000691
   4969.32       0.000000     0.010597     0.000112     0.004012
   4970.02      -0.000000    -0.002165     0.000005     0.000167
   4970.26       0.000000     0.001139     0.000001     0.000046
   4978.72      -0.000000     0.002411     0.000006     0.000208
   4990.93      -0.000000    -0.001596     0.000003     0.000091
   4993.82      -0.000000     0.002489     0.000006     0.000221
   4996.55      -0.000000    -0.002498     0.000006     0.000223
   4999.64       0.000000     0.002380     0.000006     0.000202
   5007.69      -0.000000    -0.001580     0.000002     0.000089
   5011.65      -0.000000     0.002165     0.000005     0.000167
   5022.55       0.000000     0.002818     0.000008     0.000284
   5029.79      -0.000000     0.002141     0.000005     0.000164
   5032.76      -0.000000    -0.003237     0.000010     0.000374
   5035.17      -0.000000    -0.004055     0.000016     0.000587
   5040.26      -0.000000     0.005117     0.000026     0.000935
   5044.10      -0.000000     0.066624     0.004439     0.158554
   5047.56      -0.000000     0.016522     0.000273     0.009750
   5059.27       0.000000     0.002838     0.000008     0.000288
   5060.95       0.000000    -0.009048     0.000082     0.002924
   5061.70      -0.000000     0.001963     0.000004     0.000138
   5065.53       0.000000    -0.013596     0.000185     0.006603
   5066.24       0.000000    -0.001526     0.000002     0.000083
   5069.22       0.000000    -0.023476     0.000551     0.019686
   5071.03      -0.000000    -0.003198     0.000010     0.000365
   5075.86       0.000000     0.001866     0.000003     0.000124
   5078.02      -0.000000     0.002589     0.000007     0.000239
   5078.24      -0.000000     0.005232     0.000027     0.000978
   5080.84      -0.000000     0.006736     0.000045     0.001621
   5082.25       0.000000    -0.001192     0.000001     0.000051
   5088.75       0.000000     0.002938     0.000009     0.000308
   5090.26       0.000000    -0.002959     0.000009     0.000313
   5092.14       0.000000    -0.003717     0.000014     0.000494
   5101.02       0.000000    -0.002601     0.000007     0.000242
   5107.34      -0.000000     0.012850     0.000165     0.005898
   5116.38       0.000000     0.006657     0.000044     0.001583
   5122.95       0.000000     0.001899     0.000004     0.000129
   5141.14      -0.000000     0.001029     0.000001     0.000038
   5168.59       0.000000    -0.001046     0.000001     0.000039
   5171.06      -0.000000     0.001435     0.000002     0.000074
   5171.26       0.000000     0.004700     0.000022     0.000789
   5173.53      -0.000000     0.002142     0.000005     0.000164
   5180.45       0.000000     0.010132     0.000103     0.003667
   5183.45      -0.000000     0.003939     0.000016     0.000554
   5184.82      -0.000000    -0.002571     0.000007     0.000236
   5184.97       0.000000    -0.002554     0.000007     0.000233
   5193.31      -0.000000     0.001841     0.000003     0.000121
   5197.34       0.000000     0.004923     0.000024     0.000866
   5201.17       0.000000    -0.001516     0.000002     0.000082
   5202.82       0.000000     0.001848     0.000003     0.000122
   5204.95      -0.000000     0.012460     0.000155     0.005546
   5208.07       0.000000     0.003139     0.000010     0.000352
   5208.72       0.000000    -0.003453     0.000012     0.000426
   5211.06       0.000000     0.002206     0.000005     0.000174
   5211.74      -0.000000     0.007638     0.000058     0.002084
   5217.82       0.000000    -0.001048     0.000001     0.000039
   5220.22       0.000000     0.001013     0.000001     0.000037
   5231.90       0.000000     0.002774     0.000008     0.000275
   5233.95       0.000000    -0.002246     0.000005     0.000180
   5236.88      -0.000000    -0.003852     0.000015     0.000530
   5238.88       0.000000    -0.001090     0.000001     0.000042
   5240.01       0.000000     0.001653     0.000003     0.000098
   5251.38       0.000000    -0.018363     0.000337     0.012046
   5252.40       0.000000    -0.012251     0.000150     0.005361
   5257.02      -0.000000     0.008792     0.000077     0.002761
   5263.45      -0.000000    -0.001252     0.000002     0.000056
   5266.71      -0.000000    -0.001333     0.000002     0.000064
   5270.71      -0.000000     0.008229     0.000068     0.002419
   5273.51      -0.000000    -0.001631     0.000003     0.000095
   5278.86       0.000000     0.111349     0.012399     0.442884
   5278.98       0.000000    -0.028406     0.000807     0.028823
